user_id,TM_DayTrip_Freq,tier_status,ADT,city,travel_time_mins,age_grp,TM_gaming_trip,TM_gaming_day,TM_gaming_day_weekday,TM_gaming_day_weekend,TM_hourplayed,TM_hourplayed_TG,TM_hourplayed_ETG,TM_hourplayed_SLOT,TM_twin,TM_twin_TG,TM_twin_ETG,TM_twin_SLOT,TM_avgbet,TM_avgbet_TG,TM_avgbet_ETG,TM_avgbet_SLOT,L12M_gaming_trip,L12M_gaming_day,L12M_gaming_day_weekday,L12M_gaming_day_Fri,L12M_gaming_day_Sat,L12M_gaming_day_Sun,L12M_hourplayed,L12M_hourplayed_TG,L12M_hourplayed_ETG,L12M_hourplayed_SLOT,L12M_twin,L12M_twin_TG,L12M_twin_ETG,L12M_twin_SLOT,L12M_avgbet,L12M_avgbet_TG,L12M_avgbet_ETG,L12M_avgbet_SLOT,L12M_roomnight,L24M_gaming_trip,L24M_gaming_day,L24M_gaming_day_weekday,L24M_gaming_day_Fri,L24M_gaming_day_Sat,L24M_gaming_day_Sun,L24M_hourplayed,L24M_hourplayed_TG,L24M_hourplayed_ETG,L24M_hourplayed_SLOT,L24M_twin,L24M_twin_TG,L24M_twin_ETG,L24M_twin_SLOT,L24M_avgbet,L24M_avgbet_TG,L24M_avgbet_ETG,L24M_avgbet_SLOT,L24M_room_night,trip_twin,trip_bet,trip_gaming_day,trip_hour_played,primary_game_at_first_stay,experiment_type,TM_ADT,adt_jump_L24_to_L12,adt_jump_L12_to_TM,eligible_for_host
A10006,1,Prime,57,Pasay,224.4,41 - 50,1,1,1,0,0.782,0.0,0.0,0.782,830,0,0,830,25,0,0,25,1,1,1,0,0,0,1,0,0,1,497,0,0,497,39,0,0,39,0,3,7,4,2,1,0,8.618,0.0,0.0,8.618,11148,0,0,11148,38,0,0,38,4,816,15,1,0,SLOT,ETG_CROSS_SELL,830.0,False,True,False
A10107,1,Prime,12,Pasay,311.4,41 - 50,1,1,1,0,0.378,0.0,0.378,0.0,175,0,175,0,404,0,404,0,1,2,1,1,0,0,2,0,2,0,2100,0,2100,0,621,0,621,0,0,2,3,1,1,0,1,12.527,0.0,5.963,1.39,17123,0,4593,5018,409,0,521,96,1,175,394,1,0,SLOT,ETG_CROSS_SELL,175.0,False,False,False
A10569,1,Premium,62,Makati_BGC,57.6,41 - 50,1,1,1,0,0.535,0.535,0.0,0.0,904,904,0,0,2563,2563,0,0,1,1,1,0,0,0,1,1,0,0,1210,1210,0,0,1094,1094,0,0,0,4,4,2,1,1,0,3.123,3.123,0.0,0.0,4943,4943,0,0,1761,1761,0,0,1,904,2552,1,0,SLOT,ETG_CROSS_SELL,904.0,False,False,False
A10607,1,Supreme,43,Pasay,96.6,Above 60,1,1,0,1,0.868,0.0,0.868,0.0,1254,0,1254,0,1302,0,1302,0,2,2,0,0,1,1,0,0,0,0,423,0,0,423,69,0,15,73,0,16,16,14,0,1,1,18.875,0.0,18.716,0.138,22818,0,22395,423,1114,0,1123,71,1,1254,1298,1,0,SLOT,ETG_CROSS_SELL,1254.0,False,False,False
A10740,1,Prime,56,Makati_BGC,48.6,41 - 50,1,1,0,1,1.738,0.0,0.513,0.356,860,0,131,299,199,0,328,14,2,2,0,0,0,2,2,0,2,0,1545,0,1545,0,384,0,384,0,1,2,2,0,0,0,2,2.347,0.0,2.347,0.0,1545,0,1545,0,384,0,384,0,1,846,190,1,1,SLOT,ETG_CROSS_SELL,860.0,True,True,True
A10747,2,Elite,133,Pasay,154.8,Above 60,2,2,2,0,1.889,1.889,0.0,0.0,3868,3868,0,0,1582,1582,0,0,1,1,1,0,0,0,2,0,1,0,2145,0,394,679,267,0,394,40,2,8,10,8,0,1,1,15.435,12.563,0.683,0.403,21314,17730,394,693,850,975,394,39,19,1925,787,1,0,SLOT,ETG_CROSS_SELL,1934.0,False,True,False
A10895,2,Elite,120,QC,133.8,41 - 50,1,2,2,0,0.383,0.383,0.0,0.0,1097,1097,0,0,2187,2187,0,0,2,2,0,0,2,0,1,1,0,0,6021,6021,0,0,3665,3665,0,0,0,4,4,1,0,3,0,2.495,2.495,0.0,0.0,7370,7370,0,0,2581,2581,0,0,1,1094,2187,2,0,SLOT,ETG_CROSS_SELL,548.5,True,True,True
A11096,1,Prime,156,Makati_BGC,67.8,41 - 50,1,1,1,0,4.026,0.0,1.832,0.181,4541,0,1618,652,537,0,579,107,1,1,1,0,0,0,1,0,1,0,889,0,889,0,286,0,286,0,0,3,3,2,0,1,0,6.871,0.717,2.675,0.732,9076,2111,1764,1108,301,437,334,31,4,4534,525,1,4,SLOT,ETG_CROSS_SELL,4541.0,False,True,False
A11162,3,Prime,26,Pasay,297.0,31 - 40,1,3,2,1,3.862,0.0,1.675,0.938,2036,0,292,865,133,0,260,22,1,2,2,0,0,0,4,0,1,1,2651,0,408,1034,176,0,275,53,0,4,6,4,1,0,1,5.217,0.0,1.899,1.36,3974,0,554,1826,166,0,265,47,2,2027,131,3,3,SLOT,ETG_CROSS_SELL,678.6666666666666,True,True,True
A11368,4,Elite,372,Pasay,297.0,41 - 50,2,4,1,3,45.263,6.171,4.807,6.219,59471,6390,5759,11163,802,1325,1036,39,2,2,0,0,2,0,11,2,0,3,21137,4357,0,6211,389,913,0,43,0,4,6,0,0,4,2,45.662,5.313,0.391,13.662,86016,12638,277,23696,344,1118,769,36,1,29729,394,2,22,SLOT,ETG_CROSS_SELL,14867.75,False,True,False
