user_id,segment,cluster_hdbscan,host_lane,expected_total_margin,expected_host_hours,expected_dollars_per_hour
A39491,DT_FREQUENCY,5,FREQUENCY_GROWTH,11091.598762526986,0.5,22183.197525053973
A40484,STAYERS,5,GROWTH,16470.855465626693,0.75,21961.14062083559
A49436,DT_FREQUENCY,5,FREQUENCY_GROWTH,9741.56170058896,0.5,19483.12340117792
A32879,DT_FREQUENCY,5,FREQUENCY_GROWTH,9645.182680377682,0.5,19290.365360755364
A47939,DT_FREQUENCY,5,FREQUENCY_GROWTH,9438.377434228138,0.5,18876.754868456275
A14873,STAYERS,7,GROWTH,14038.25,0.75,18717.666666666668
A3731,STAYERS,7,GROWTH,13652.599989915632,0.75,18203.466653220843
A25193,STAYERS,7,GROWTH,13224.849991201778,0.75,17633.13332160237
A16276,DT_FREQUENCY,5,FREQUENCY_GROWTH,8512.029128070812,0.5,17024.058256141623
A28614,DT_FREQUENCY,5,FREQUENCY_GROWTH,7872.282528506164,0.5,15744.565057012329
A36303,DT_FREQUENCY,5,FREQUENCY_GROWTH,7769.270838824931,0.5,15538.541677649862
A54096,STAYERS,7,GROWTH,11597.006438576407,0.75,15462.67525143521
A11850,DT_FREQUENCY,5,FREQUENCY_GROWTH,7718.134749266887,0.5,15436.269498533775
A13008,DT_FREQUENCY,5,FREQUENCY_GROWTH,7660.615668659303,0.5,15321.231337318606
A40691,DT_FREQUENCY,5,FREQUENCY_GROWTH,7549.43863224853,0.5,15098.87726449706
A51174,STAYERS,7,GROWTH,11261.927727804783,0.75,15015.903637073045
A24026,STAYERS,7,GROWTH,11203.140259558251,0.75,14937.520346077668
A878,STAYERS,7,GROWTH,11099.89136933079,0.75,14799.85515910772
A40271,STAYERS,5,GROWTH,11080.680931521027,0.75,14774.241242028036
A29113,DT_FREQUENCY,5,FREQUENCY_GROWTH,7320.777769514626,0.5,14641.555539029252
A3607,DT_FREQUENCY,5,FREQUENCY_GROWTH,7054.165611197686,0.5,14108.331222395373
A38691,DT_FREQUENCY,5,FREQUENCY_GROWTH,6985.436658369086,0.5,13970.873316738172
A49255,DT_FREQUENCY,5,FREQUENCY_GROWTH,6982.93081868768,0.5,13965.86163737536
A22711,DT_FREQUENCY,5,FREQUENCY_GROWTH,6967.8322220389655,0.5,13935.664444077931
A36834,STAYERS,7,GROWTH,10214.46265566507,0.75,13619.28354088676
A40185,DT_FREQUENCY,5,FREQUENCY_GROWTH,6713.836820716834,0.5,13427.673641433668
A23316,DT_FREQUENCY,5,FREQUENCY_GROWTH,6712.886442547629,0.5,13425.772885095257
A2010,STAYERS,7,GROWTH,9922.45474913407,0.75,13229.939665512095
A5743,DT_FREQUENCY,5,FREQUENCY_GROWTH,6570.642892198229,0.5,13141.285784396458
A22967,DT_FREQUENCY,5,FREQUENCY_GROWTH,6517.179241666554,0.5,13034.358483333108
A1347,DT_FREQUENCY,5,FREQUENCY_GROWTH,6404.282669112207,0.5,12808.565338224415
A127,DT_FREQUENCY,5,FREQUENCY_GROWTH,6393.841166652624,0.5,12787.682333305249
A41628,STAYERS,7,GROWTH,9493.024488435189,0.75,12657.365984580252
A51451,DT_FREQUENCY,5,FREQUENCY_GROWTH,6308.05375979147,0.5,12616.10751958294
A54857,DT_FREQUENCY,5,FREQUENCY_GROWTH,6278.766980119979,0.5,12557.533960239958
