user_id,segment,expected_dollars_per_hour
A31536,STAYERS,37375.86666666667
A27003,STAYERS,9001.2
A36598,STAYERS,8833.866666666667
A38910,STAYERS,8324.333333333334
A35630,STAYERS,8058.266666666666
A6851,STAYERS,6830.133333333334
A4842,STAYERS,6514.200000000001
A14821,STAYERS,5676.45
A38253,STAYERS,4657.466666666666
A22628,STAYERS,4288.7
A15763,STAYERS,4071.6
A24300,STAYERS,4017.8
A676,STAYERS,3945.933333333334
A33185,STAYERS,3937.266666666667
A7186,STAYERS,3867.5
A33227,STAYERS,3812.25
A37367,STAYERS,3727.75
A37254,STAYERS,3680.95
A49590,STAYERS,3676.4
A40175,STAYERS,3406.0
A21302,STAYERS,3340.133333333333
A42787,STAYERS,3331.4666666666667
A21354,STAYERS,3287.266666666667
A52138,STAYERS,2921.75
A32218,STAYERS,2866.4
A30785,STAYERS,2814.0
A31858,STAYERS,2765.5333333333333
A12790,STAYERS,2686.6666666666665
A22518,STAYERS,2428.4
A48722,STAYERS,2361.6666666666665
A39377,STAYERS,2347.15
A48,STAYERS,2314.0
A4287,STAYERS,2268.0666666666666
A1166,STAYERS,2245.5333333333333
A36660,STAYERS,2236.0
A54417,STAYERS,2229.5
A16624,STAYERS,2213.25
A12536,STAYERS,2210.0
A7793,STAYERS,2193.5333333333333
A12470,STAYERS,2171.0
A43400,STAYERS,2157.35
A21376,STAYERS,2119.6
A589,STAYERS,2116.4
A30057,STAYERS,2060.5
A4756,STAYERS,1909.7
A13225,STAYERS,1906.45
A31255,STAYERS,1894.5333333333333
A28976,STAYERS,1893.45
A12702,STAYERS,1886.7333333333331
A54285,STAYERS,1868.5333333333333
A43180,STAYERS,1818.7
A50314,STAYERS,1805.7
A4418,STAYERS,1794.8666666666668
A15309,STAYERS,1729.0
A6675,STAYERS,1702.0
A29993,STAYERS,1701.6
A49454,STAYERS,1699.1
A2194,STAYERS,1615.9
A2519,STAYERS,1612.0
A37276,STAYERS,1602.25
A11962,STAYERS,1592.0666666666666
A36512,STAYERS,1585.3333333333333
A1725,STAYERS,1544.4
A14281,STAYERS,1510.6
A10273,STAYERS,1504.2666666666669
A265,STAYERS,1500.2
A50344,STAYERS,1467.7
A5974,STAYERS,1464.8000000000002
A10510,STAYERS,1441.7
A43695,STAYERS,1389.05
A37368,STAYERS,1358.0666666666668
A40322,STAYERS,1348.1
A16081,STAYERS,1345.5
A16316,STAYERS,1311.7
A1062,STAYERS,1307.8000000000002
A17484,STAYERS,1293.9333333333334
A37635,STAYERS,1270.5333333333333
A40484,STAYERS,1270.1
A9874,STAYERS,1255.15
A25298,STAYERS,1254.0666666666668
A8164,STAYERS,1237.6
A50655,STAYERS,1209.0
A2510,STAYERS,1209.0
A795,STAYERS,1188.0
A2689,STAYERS,1185.4
A25612,STAYERS,1184.3
A27081,STAYERS,1178.6666666666667
A50884,STAYERS,1173.25
A34144,STAYERS,1171.6
A5382,STAYERS,1134.25
A53915,STAYERS,1103.05
A39703,STAYERS,1092.65
A51933,STAYERS,1075.75
A2675,STAYERS,1069.3333333333333
A768,STAYERS,1053.6
A29980,STAYERS,1053.0
A46054,STAYERS,1052.35
A28309,STAYERS,1051.2
A53500,STAYERS,1051.05
A42798,STAYERS,1050.4
A8714,STAYERS,1041.6
A42776,STAYERS,1039.35
A29700,STAYERS,1037.6
A9135,STAYERS,1037.4
A29762,STAYERS,1033.5
A53699,STAYERS,1025.05
A17452,STAYERS,1024.4
A6507,STAYERS,1017.9
A16197,STAYERS,1015.7333333333336
A120,STAYERS,1013.1333333333332
A12628,STAYERS,1010.75
A9808,STAYERS,1009.45
A52737,STAYERS,1005.55
A26238,STAYERS,1004.9
A27726,STAYERS,1003.6
A20763,STAYERS,1001.0
A43690,STAYERS,1000.35
A11153,STAYERS,995.8
A9328,STAYERS,983.6666666666666
A16684,STAYERS,980.8
A40445,STAYERS,977.6
A28799,STAYERS,977.3866666666668
A21351,STAYERS,976.5333333333334
A30189,STAYERS,965.9
A36463,STAYERS,946.4
A51587,STAYERS,932.75
A28186,STAYERS,921.6
A20259,STAYERS,915.85
A50206,STAYERS,908.05
A684,STAYERS,904.8
A10251,STAYERS,885.95
A24026,STAYERS,881.4
A54429,STAYERS,878.15
A20178,STAYERS,860.0
A3484,STAYERS,859.4000000000001
A330,DT_HOST,860.9549999999999
A43452,DT_HOST,692.4749999999999
A28415,DT_HOST,667.8749999999999
A25231,DT_HOST,583.035
A17548,DT_HOST,568.155
A3140,DT_HOST,547.635
A1424,DT_HOST,499.515
A18256,DT_HOST,443.235
A48320,DT_HOST,421.155
A30227,DT_HOST,407.715
A32305,DT_HOST,402.795
A20019,DT_HOST,392.955
A6339,DT_HOST,372.795
A39317,DT_HOST,366.195
A32858,DT_HOST,349.035
A47980,DT_HOST,345.915
A38326,DT_HOST,345.675
A23327,DT_HOST,344.115
A5088,DT_HOST,337.15500000000003
A5373,DT_HOST,335.71500000000003
A5836,DT_HOST,334.995
A38129,DT_HOST,330.55500000000006
A205,DT_HOST,321.675
A49393,DT_HOST,318.07500000000005
A23210,DT_HOST,307.15500000000003
A51905,DT_HOST,303.915
A25043,DT_HOST,296.595
A34645,DT_HOST,296.355
A45293,DT_HOST,295.995
A40512,DT_HOST,295.27500000000003
A31095,DT_HOST,294.555
A274,DT_HOST,292.27500000000003
A48968,DT_HOST,291.795
A21104,DT_HOST,291.675
A28705,DT_HOST,287.355
A37719,DT_HOST,277.035
A13540,DT_HOST,276.915
A20809,DT_HOST,274.395
A20836,DT_HOST,273.435
A34032,DT_HOST,272.95500000000004
A5084,DT_HOST,269.475
A27622,DT_HOST,267.675
A44718,DT_HOST,266.235
A14647,DT_HOST,266.235
A37155,DT_HOST,264.435
A22731,DT_HOST,263.115
A21906,DT_HOST,262.635
