user_id,TM_DayTrip_Freq,tier_status,ADT,city,travel_time_mins,age_grp,TM_gaming_trip,TM_gaming_day,TM_gaming_day_weekday,TM_gaming_day_weekend,TM_hourplayed,TM_hourplayed_TG,TM_hourplayed_ETG,TM_hourplayed_SLOT,TM_twin,TM_twin_TG,TM_twin_ETG,TM_twin_SLOT,TM_avgbet,TM_avgbet_TG,TM_avgbet_ETG,TM_avgbet_SLOT,L12M_gaming_trip,L12M_gaming_day,L12M_gaming_day_weekday,L12M_gaming_day_Fri,L12M_gaming_day_Sat,L12M_gaming_day_Sun,L12M_hourplayed,L12M_hourplayed_TG,L12M_hourplayed_ETG,L12M_hourplayed_SLOT,L12M_twin,L12M_twin_TG,L12M_twin_ETG,L12M_twin_SLOT,L12M_avgbet,L12M_avgbet_TG,L12M_avgbet_ETG,L12M_avgbet_SLOT,L12M_roomnight,L24M_gaming_trip,L24M_gaming_day,L24M_gaming_day_weekday,L24M_gaming_day_Fri,L24M_gaming_day_Sat,L24M_gaming_day_Sun,L24M_hourplayed,L24M_hourplayed_TG,L24M_hourplayed_ETG,L24M_hourplayed_SLOT,L24M_twin,L24M_twin_TG,L24M_twin_ETG,L24M_twin_SLOT,L24M_avgbet,L24M_avgbet_TG,L24M_avgbet_ETG,L24M_avgbet_SLOT,L24M_room_night,trip_twin,trip_bet,trip_gaming_day,trip_hour_played,dest_active_flag,log_ADT,log_avg_bet,twin_per_day,hours_per_day,days_per_trip,trips_per_month,hours_per_trip,pct_ETG,pct_SLOT,pct_TG,pct_weekday,pct_weekend,cluster_hdbscan,is_noise,hdbscan_confidence,cluster_fuzzy,fuzzy_confidence,umap_x,umap_y,ADT_old,ADT_recent,gaming_day_old,gaming_day_recent,hourplayed_old,hourplayed_recent,roomnight_old,roomnight_recent,migration_label,delta_ADT,delta_twin,delta_gaming_days,delta_hours,delta_roomnight,adt_ratio,persona_id,margin_tier,P_DOWNGRADE,P_STABLE,P_UPGRADE,pms_raw,pms_score,pms_bucket,pms_action_eligible,queue_score,host_lane
A14887,1,Elite,347,QC,133.8,41 - 50,1,1,0,1,1.847,0.0,0.0,1.847,5045,0,0,5045,44,0,0,44,8,13,3,1,2,7,30,0,0,30,63029,0,0,63029,36,0,0,36,1,9,14,4,1,2,7,30.521,0.0,0.0,30.521,63059,0,0,63059,36,0,0,36,1,5045,44,1,1,1,5.8522024797744745,3.610917912644224,4848.384615384615,2.3076923076923075,1.625,0.6666666666666666,3.75,0.0,1.0,0.0,0.2307692307692307,0.7692307692307693,0,0,0.9098943154378236,3.0,0.1672063014112683,7.7018733,0.260783,30.0,4848.384615384615,1,13,0.5210000000000008,30,0,1,UPGRADE,4818.384615384615,62999,12,29.479,1,161.61282051282052,0,HIGH,0.0,2.7285056266528426e-123,1.0,1.15,99.94236311239193,HIGH,True,60.265417867435154,GROWTH
A27208,1,Premium,432,Makati_BGC,57.6,51 - 60,1,1,1,0,1.259,0.0,0.0,1.259,2041,0,0,2041,73,0,0,73,13,17,9,2,4,2,38,1,0,31,91691,886,277,78182,139,1170,3353,93,2,15,19,11,2,4,2,37.955,0.731,0.06,31.362,91934,886,277,78425,138,1170,3353,92,3,2041,73,1,1,1,6.07073772800249,4.941642422609304,5393.588235294118,2.235294117647059,1.3076923076923077,1.0833333333333333,2.923076923076923,0.0030210162393255,0.8526682008048773,0.0096628894875178,0.5294117647058824,0.4705882352941176,0,0,0.7801216870956555,3.0,0.1673991346781265,8.709237,1.4523165,121.5,5393.588235294118,2,17,-0.045000000000001705,38,1,2,UPGRADE,5272.088235294118,91448,15,38.045,1,44.391672718470105,0,HIGH,0.0,1.1840505604435943e-34,1.0,1.15,99.94236311239193,HIGH,True,60.265417867435154,GROWTH
A32331,4,Elite,109,Makati_BGC,57.6,41 - 50,3,4,0,4,3.569,0.618,0.0,2.289,5088,612,0,3805,539,1486,0,36,22,30,12,1,5,12,37,1,1,26,65617,2940,146,45121,73,449,274,30,4,23,31,12,1,6,12,37.637,1.191,0.768,26.341,65719,2940,248,45121,75,449,348,30,4,1691,175,1,1,1,4.700480365792417,4.30406509320417,2187.233333333333,1.2333333333333334,1.3636363636363635,1.8333333333333333,1.681818181818182,0.0022250331468979,0.68764192206288,0.044805461999177,0.4,0.6,0,0,0.7605326193098335,1.0,0.1670990189176922,9.99061,0.31253693,102.0,2187.233333333333,1,30,0.6370000000000005,37,0,4,UPGRADE,2085.233333333333,65515,29,36.363,4,21.44346405228758,0,HIGH,0.0,4.782715085839626e-17,1.0,1.15,99.94236311239193,HIGH,True,60.265417867435154,GROWTH
A19660,1,Premium,330,QC,269.4,31 - 40,1,1,1,0,0.898,0.0,0.0,0.898,2264,0,0,2264,36,0,0,36,39,48,33,10,0,5,121,0,2,108,236465,0,525,215466,41,0,248,32,31,40,49,34,10,0,5,120.814,0.0,2.281,107.74,236724,0,525,215725,41,0,248,32,31,2260,29,1,0,1,5.802118375377063,3.737669618283368,4926.354166666667,2.520833333333333,1.2307692307692308,3.25,3.102564102564102,0.0022202017211849,0.9111961601082612,0.0,0.6875,0.3125,0,0,0.829828330034179,3.0,0.1671567356311545,8.967893,1.0084838,259.0,4926.354166666667,1,48,-0.18600000000000705,121,0,31,UPGRADE,4667.354166666667,236206,47,121.186,31,19.02067245817246,0,HIGH,0.0,1.8658726582201842e-16,0.9999999999999998,1.1499999999999997,99.82708933717579,HIGH,True,60.19625360230547,GROWTH
A48139,1,Prime,122,Mandaluyong_Pasig,202.8,21 - 30,1,1,1,0,1.214,0.0,0.0,1.214,2100,0,0,2100,38,0,0,38,21,21,14,2,3,2,18,0,0,18,43405,0,0,43405,39,0,0,39,4,22,22,15,2,3,2,17.782,0.0,0.0,17.782,43507,0,0,43507,39,0,0,39,5,2100,29,1,1,1,4.812184355372417,3.688879454113936,2066.904761904762,0.8571428571428571,1.0,1.75,0.8571428571428571,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0,0,0.7895222101172029,1.0,0.1669391803334467,9.858382,-0.7759023,102.0,2066.904761904762,1,21,-0.21799999999999997,18,1,4,UPGRADE,1964.904761904762,43303,20,18.218,3,20.263772175536882,0,HIGH,0.0,8.519990176084324e-16,0.9999999999999991,1.1499999999999988,99.76945244956772,HIGH,True,60.161671469740625,GROWTH
A22252,4,Elite,318,Makati_BGC,57.6,41 - 50,4,4,1,3,16.2,0.0,0.023,11.704,21972,0,0,14900,33,0,15,30,9,11,4,2,3,2,35,0,0,35,50400,0,0,50400,32,0,0,32,3,14,16,8,2,3,3,36.587,0.0,0.0,36.587,51590,0,0,51590,32,0,0,32,8,5482,0,1,4,1,5.765191102784844,3.49650756146648,4581.818181818182,3.1818181818181817,1.2222222222222223,0.75,3.888888888888889,0.0,1.0,0.0,0.3636363636363636,0.6363636363636364,0,0,1.0,3.0,0.1672675609455852,8.109513,0.26131865,238.0,4581.818181818182,5,11,1.5870000000000033,35,5,3,UPGRADE,4343.818181818182,49210,6,33.413,-2,19.251336898395724,0,HIGH,0.0,3.7631504441311545e-15,0.9999999999999962,1.1499999999999955,99.71181556195965,HIGH,True,60.12708933717579,GROWTH
A16915,2,Premium,419,Makati_BGC,57.6,Above 60,2,3,1,2,3.558,0.0,0.0,3.558,13470,0,0,13470,63,0,0,63,33,45,8,4,23,10,83,0,0,83,271527,0,0,271527,62,0,0,62,5,37,49,8,4,23,14,84.087,0.0,0.0,84.087,273057,0,0,273057,62,0,0,62,5,6721,29,1,1,1,6.040254711277414,4.143134726391533,6033.933333333333,1.8444444444444448,1.3636363636363635,2.75,2.515151515151515,0.0,1.0,0.0,0.1777777777777777,0.8222222222222222,0,0,0.83356835688257,3.0,0.167128412309978,8.232395,0.9791976,382.5,6033.933333333333,4,45,1.0870000000000033,83,0,5,UPGRADE,5651.433333333333,269997,41,81.913,5,15.774989106753813,0,HIGH,2.0484275725981077e-275,8.345164973256927e-14,0.9999999999999165,1.149999999999904,99.65417867435158,HIGH,True,60.092507204610925,GROWTH
A37536,2,Elite,561,QC,84.0,51 - 60,1,2,0,2,7.856,0.0,0.0,7.856,20915,0,0,20915,42,0,0,42,12,14,6,2,4,2,49,0,1,47,97278,0,656,93910,59,0,802,39,3,14,16,6,2,5,3,50.698,0.0,0.614,48.539,98625,0,656,95258,57,0,802,39,3,20908,29,2,7,1,6.331501849893691,4.0943445622221,6948.428571428572,3.5,1.1666666666666667,1.0,4.083333333333333,0.006743559694895,0.9653775776640144,0.0,0.4285714285714285,0.5714285714285714,0,0,0.8585377755607971,3.0,0.1672988582345818,7.695183,1.1579288,673.5,6948.428571428572,2,14,1.6980000000000004,49,0,3,UPGRADE,6274.928571428572,95931,12,47.302,3,10.316894686605155,0,HIGH,1.4996891400266926e-175,5.489001617392008e-09,0.9999999945109983,1.149999993687648,99.59654178674351,HIGH,True,60.057925070399406,GROWTH
A54212,1,Prime,120,Ortigas,0.0,41 - 50,1,1,1,0,0.275,0.0,0.0,0.275,818,0,0,818,77,0,0,77,3,5,1,1,2,1,7,0,0,7,10679,0,0,10679,43,0,0,43,2,4,6,1,2,2,1,7.444,0.0,0.0,7.444,10870,0,0,10870,42,0,0,42,2,816,73,1,0,1,4.795790545596741,3.784189633918261,2135.8,1.4,1.6666666666666667,0.25,2.333333333333333,0.0,1.0,0.0,0.2,0.8,0,0,0.816597527685673,3.0,0.1670389893395457,9.183822,-0.16835536,191.0,2135.8,1,5,0.44399999999999995,7,0,2,UPGRADE,1944.8000000000002,10488,4,6.556,2,11.182198952879583,0,HIGH,2.5887488131592574e-189,2.1437383943767007e-08,0.9999999785626161,1.1499999753470085,99.53890489913545,HIGH,True,60.023342933050046,GROWTH
A25234,1,Premium,92,Pasay,224.4,51 - 60,1,1,1,0,0.313,0.0,0.0,0.313,123,0,0,123,20,0,0,20,6,10,6,1,0,3,8,0,0,8,14613,0,0,14613,32,0,0,32,13,8,12,7,2,0,3,8.325,0.0,0.0,8.325,14878,0,0,14878,32,0,0,32,14,117,15,1,0,1,4.532599493153256,3.49650756146648,1461.3,0.8,1.6666666666666667,0.5,1.3333333333333333,0.0,1.0,0.0,0.6,0.4,0,0,0.829706913602223,1.0,0.1669852082520084,9.3651905,-1.3631632,132.5,1461.3,2,10,0.3249999999999993,8,1,13,UPGRADE,1328.8,14348,8,7.675000000000001,12,11.02867924528302,0,HIGH,2.3681755138597326e-186,2.8326323334104783e-08,0.9999999716736766,1.149999967424728,99.48126801152738,HIGH,True,59.988760798418525,GROWTH
A43848,1,Elite,275,Pasay,96.6,51 - 60,1,1,1,0,0.715,0.0,0.0,0.715,1137,0,0,1137,35,0,0,35,8,12,6,3,2,1,17,0,0,13,48599,296,117,44656,105,1094,379,81,3,9,14,8,3,2,1,17.073,0.169,0.314,13.505,49449,296,117,45506,103,1094,379,80,5,1137,29,1,0,1,5.62040086571715,4.663439094112067,4049.9166666666665,1.4166666666666667,1.5,0.6666666666666666,2.125,0.0024074569435585,0.9188666433465708,0.0060906603016522,0.5,0.5,0,0,0.8013739172300741,3.0,0.1672605199694921,9.26475,0.29461306,425.0,4049.9166666666665,2,12,0.0730000000000004,17,2,3,UPGRADE,3624.9166666666665,47749,10,16.927,1,9.52921568627451,0,HIGH,5.407285349857173e-160,1.0828562958841317e-07,0.9999998917143704,1.149999875471526,99.42363112391931,HIGH,True,59.954178641865894,GROWTH
A53427,3,Prime,382,QC,155.4,41 - 50,2,3,2,1,15.487,0.0,0.0,15.487,19754,0,0,19754,43,0,0,43,10,12,7,0,1,4,39,0,0,39,60916,0,0,60916,49,0,0,49,3,15,17,8,0,1,8,40.825,0.241,0.131,40.453,63669,548,0,63121,53,547,292,49,3,9871,15,1,7,1,5.948034989180646,3.912023005428146,5076.333333333333,3.25,1.2,0.8333333333333334,3.9,0.0,1.0,0.0,0.5833333333333334,0.4166666666666667,0,0,0.8193505009936577,3.0,0.1672764009529762,8.270161,0.27634215,550.6,5076.333333333333,5,12,1.8250000000000028,39,0,3,UPGRADE,4525.733333333333,58163,7,37.175,3,9.21963918149897,0,HIGH,1.0022744288059445e-154,1.263743995882885e-07,0.9999998736256004,1.1499998546694403,99.36599423631124,HIGH,True,59.91959650387442,GROWTH
A12542,9,Premium,210,Makati_BGC,67.8,41 - 50,6,9,6,3,7.649,0.0,0.0,7.649,12878,0,0,12878,23,0,0,23,30,43,10,5,8,20,87,0,0,87,171609,0,0,171609,24,0,0,24,1,48,64,17,6,13,28,97.633,0.0,0.0,97.633,181568,0,0,181568,24,0,0,24,2,2143,0,1,1,1,5.351858133476067,3.218875824868201,3990.906976744186,2.0232558139534884,1.4333333333333331,2.5,2.9,0.0,1.0,0.0,0.2325581395348837,0.7674418604651163,0,0,0.8621968719118142,3.0,0.1671595302036704,8.572695,0.53158957,474.23809523809524,3990.906976744186,21,43,10.632999999999996,87,1,1,UPGRADE,3516.6688815060907,161650,22,76.367,0,8.415407823238066,0,HIGH,4.725281438558539e-140,2.785279967947296e-07,0.9999997214720032,1.1499996796928036,99.30835734870317,HIGH,True,59.8850143256635,GROWTH
A10902,7,Elite,223,Pasay,96.6,41 - 50,7,8,5,3,13.77,0.0,0.0,13.77,18560,0,0,18560,17,0,0,17,17,22,16,3,3,0,40,0,2,29,100485,0,831,76662,111,0,701,43,1,21,27,19,4,3,1,44.071,0.0,2.049,33.406,103371,0,831,79547,102,0,695,39,2,2639,0,1,1,1,5.41164605185504,4.718498871295094,4567.5,1.818181818181818,1.2941176470588236,1.4166666666666667,2.3529411764705883,0.0082698910285117,0.7629198387819077,0.0,0.7272727272727273,0.2727272727272727,0,0,0.7921908136735832,3.0,0.1671267672703829,10.20044,0.6329689,577.2,4567.5,5,22,4.070999999999998,40,1,1,UPGRADE,3990.3,97599,17,35.929,0,7.913201663201662,0,HIGH,7.275321582532958e-131,8.922442306411161e-07,0.9999991077557694,1.1499989739191347,99.2507204610951,HIGH,True,59.85043200898379,GROWTH
