user_id,TM_DayTrip_Freq,tier_status,ADT,city,travel_time_mins,age_grp,TM_gaming_trip,TM_gaming_day,TM_gaming_day_weekday,TM_gaming_day_weekend,TM_hourplayed,TM_hourplayed_TG,TM_hourplayed_ETG,TM_hourplayed_SLOT,TM_twin,TM_twin_TG,TM_twin_ETG,TM_twin_SLOT,TM_avgbet,TM_avgbet_TG,TM_avgbet_ETG,TM_avgbet_SLOT,L12M_gaming_trip,L12M_gaming_day,L12M_gaming_day_weekday,L12M_gaming_day_Fri,L12M_gaming_day_Sat,L12M_gaming_day_Sun,L12M_hourplayed,L12M_hourplayed_TG,L12M_hourplayed_ETG,L12M_hourplayed_SLOT,L12M_twin,L12M_twin_TG,L12M_twin_ETG,L12M_twin_SLOT,L12M_avgbet,L12M_avgbet_TG,L12M_avgbet_ETG,L12M_avgbet_SLOT,L12M_roomnight,L24M_gaming_trip,L24M_gaming_day,L24M_gaming_day_weekday,L24M_gaming_day_Fri,L24M_gaming_day_Sat,L24M_gaming_day_Sun,L24M_hourplayed,L24M_hourplayed_TG,L24M_hourplayed_ETG,L24M_hourplayed_SLOT,L24M_twin,L24M_twin_TG,L24M_twin_ETG,L24M_twin_SLOT,L24M_avgbet,L24M_avgbet_TG,L24M_avgbet_ETG,L24M_avgbet_SLOT,L24M_room_night,trip_twin,trip_bet,trip_gaming_day,trip_hour_played,log_ADT,twin_per_day,hours_per_day,days_per_trip,trips_per_month,pct_SLOT,pct_ETG,pct_TG,cluster_hdbscan,hdbscan_confidence,dt_transition_type,region_changed_flag,visit_compression_flag,friction_flag,TM_ADT,P_CONVERT_STAY,expected_room_margin,expected_gaming_margin,expected_total_margin,engagement_lane,expected_host_hours,expected_dollars_per_hour
A330,5,Maharlika,6692,Makati_BGC,57.6,Above 60,6,7,3,4,21.144,0.0,21.144,0.0,407963,0,407963,0,19857,0,19857,0,63,66,21,7,24,14,259,1,255,0,5817610,2668,5732958,0,17752,6561,17799,0,0,137,147,51,14,51,31,577.69,0.56,573.379,0.0,11199102,2668,11114451,0,15174,6561,15175,0,4,67987,3295,1,3,8.808817483100642,88145.60606060606,3.924242424242424,1.0476190476190477,5.25,0.0,0.9854490074102596,0.0004586075725254,-1,0.0,DOWNGRADED_STAYER,0,1,1,58280.42857142857,0.6,57.915,803.04,860.9549999999999,HOST_RECOVERY,1.0,860.9549999999999
A43452,6,Maharlika,5288,Makati_BGC,52.2,Above 60,6,6,6,0,54.854,0.0,23.109,4.318,718357,0,336346,22832,13096,0,15525,101,33,50,31,11,4,4,565,0,194,88,7739822,0,3360603,509309,10505,0,15236,123,0,68,102,56,19,15,12,1214.665,0.0,441.567,175.746,17642937,0,8027019,998453,10680,0,14978,115,2,119716,2172,1,9,8.57338447106598,154796.44,11.3,1.5151515151515151,2.75,0.0658037096977165,0.4341964195042211,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,119726.16666666667,0.6,57.915,634.56,692.4749999999999,HOST_RECOVERY,1.0,692.4749999999999
A28415,1,Supreme,5083,Makati_BGC,57.6,41 - 50,1,1,1,0,7.921,0.0,0.0,7.921,65304,0,0,65304,106,0,0,106,20,24,15,2,4,3,203,0,1,186,1987455,509,3368,1790818,179,437,2260,148,0,49,58,40,4,8,6,469.445,0.246,6.09,399.555,4957945,509,21010,4351201,243,437,2966,173,5,65304,102,1,7,8.533853632309345,82810.625,8.458333333333334,1.2,1.6666666666666667,0.9010609045236244,0.0016946295639398,0.0002561064275669,-1,0.0,DOWNGRADED_STAYER,0,1,1,65304.0,0.6,57.915,609.9599999999999,667.8749999999999,HOST_RECOVERY,1.0,667.8749999999999
A25231,1,Supreme,4376,Makati_BGC,52.2,41 - 50,1,1,1,0,10.994,0.0,0.614,4.883,75119,0,1662,35898,419,0,2362,175,18,18,12,6,0,0,201,0,11,90,2252260,0,57183,1068947,727,0,4643,269,0,31,32,19,10,1,2,328.544,1.518,21.045,146.999,3312553,3569,106842,1593536,809,1094,4393,248,2,75116,408,1,10,8.384118837190895,125125.55555555556,11.166666666666666,1.0,1.5,0.4746108353387264,0.0253891646612735,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,75119.0,0.6,57.915,525.12,583.035,HOST_RECOVERY,1.0,583.035
A17548,10,Maharlika,4252,Makati_BGC,52.8,51 - 60,8,10,4,6,61.07,0.0,24.514,9.055,1059149,0,598232,15797,12904,0,18708,43,66,112,31,13,44,24,451,0,296,18,9725280,0,7033494,25732,17276,0,19220,38,0,148,258,79,27,87,65,976.011,0.0,742.339,24.524,19420707,0,15440643,39636,16470,0,17388,42,1,132386,1604,1,7,8.355379895253634,86832.85714285714,4.026785714285714,1.696969696969697,5.5,0.0026458878304789,0.7232176348650116,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,105914.9,0.6,57.915,510.24,568.155,HOST_RECOVERY,1.0,568.155
A3140,1,Premium,4081,Makati_BGC,57.6,51 - 60,1,1,1,0,2.451,0.0,2.451,0.0,42749,0,42749,0,14433,0,14433,0,5,5,1,2,1,1,16,0,16,0,308046,0,308046,0,15796,0,15796,0,0,11,15,7,2,2,4,92.677,0.0,56.302,4.413,1120721,0,788064,11168,10256,0,11988,57,4,42749,14420,1,2,8.31434234336979,61609.2,3.2,1.0,0.4166666666666667,0.0,1.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,42749.0,0.6,57.915,489.72,547.635,HOST_RECOVERY,1.0,547.635
A1424,5,Maharlika,3680,Makati_BGC,81.6,Above 60,4,5,3,2,20.132,0.0,0.0,20.132,165293,0,0,165293,168,0,0,168,32,40,8,5,17,10,210,0,0,210,1940794,0,0,1940794,209,0,0,209,0,47,63,12,11,25,15,312.154,0.0,0.0,312.154,2807327,0,0,2807327,205,0,0,205,2,41320,29,1,5,8.210939733379021,48519.85,5.25,1.25,2.6666666666666665,1.0,0.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,33058.6,0.6,57.915,441.6,499.51500000000004,HOST_RECOVERY,1.0,499.51500000000004
A18256,1,Premium,3211,Makati_BGC,57.6,41 - 50,1,1,1,0,1.435,0.0,1.435,0.0,9156,0,9156,0,6664,0,6664,0,12,18,13,2,1,2,80,0,80,0,806624,0,806624,0,10737,0,10737,0,0,17,40,25,5,4,6,171.438,42.064,119.485,0.571,1247948,70162,1103837,1299,7170,443,9577,64,20,9156,6663,1,1,8.074649075066652,44812.444444444445,4.444444444444445,1.5,1.0,0.0,1.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,9156.0,0.6,57.915,385.32,443.235,HOST_RECOVERY,1.0,443.235
A48320,1,Supreme,3027,Makati_BGC,45.0,41 - 50,1,1,0,1,14.968,2.654,0.0,4.83,68963,7305,0,27177,1569,4198,0,125,6,7,3,1,1,2,89,10,0,57,548891,43126,0,376864,1580,6904,0,128,0,19,22,8,3,6,5,238.48,9.52,0.0,206.282,1461690,43126,0,1289663,671,6904,0,131,1,68963,1560,1,14,8.01565761455734,78413.0,12.714285714285714,1.1666666666666667,0.5,0.6865916912465316,0.0,0.0785693334377863,-1,0.0,DOWNGRADED_STAYER,0,1,1,68963.0,0.6,57.915,363.24,421.15500000000003,HOST_RECOVERY,1.0,421.15500000000003
A30227,8,Supreme,2915,QC,84.0,51 - 60,7,8,5,3,40.441,0.802,0.0,35.286,262583,772,0,237260,191,1094,0,155,71,79,53,8,11,7,380,0,0,374,3516739,423,0,3468990,215,1094,0,215,0,144,158,96,23,19,20,680.81,0.237,0.0,674.452,6357923,423,0,6310174,214,1094,0,214,1,37500,15,1,5,7.977968093128549,44515.6835443038,4.810126582278481,1.1126760563380282,5.916666666666667,0.9864223645826432,0.0,0.000120281886145,-1,0.0,DOWNGRADED_STAYER,0,1,1,32822.875,0.6,57.915,349.8,407.71500000000003,HOST_RECOVERY,1.0,407.71500000000003
